"ID","CHECKING_BALANCE","PAYMENT_TERM","CREDIT_HISTORY","LOAN_PURPOSE","LOAN_AMOUNT","EXISTING_SAVINGS","EMPLOYMENT_DURATION","INSTALLMENT_PERCENT","SEX","OTHERS_ON_LOAN","CURRENT_RESIDENCE_DURATION","PROPERTY","AGE","INSTALLMENT_PLANS","HOUSING","EXISTING_CREDITS_COUNT","JOB_TYPE","DEPENDENTS","TELEPHONE","FOREIGN_WORKER","ALLOW"
770295,,1230.0,,RETRAINING,7089.0,,11.0,5.0,M,CO-APPLICANT,4.0,CAR_OTHER,44.0,STORES,FREE,,1.0,2.0,1.0,1.0,1
126440,,900.0,,CAR_USED,1102.0,,0.0,3.0,F,NONE,4.0,SAVINGS_INSURANCE,19.0,NONE,OWN,,3.0,1.0,0.0,1.0,1
900801,,527.0,,CAR_USED,2817.0,,2.0,2.0,F,NONE,3.0,REAL_ESTATE,33.0,NONE,OWN,,3.0,1.0,0.0,1.0,1
441510,,1080.0,,OTHER,5835.0,,12.0,4.0,M,CO-APPLICANT,4.0,UNKNOWN,54.0,NONE,FREE,,3.0,2.0,1.0,1.0,0
1184711,,1110.0,,RADIO_TV,5119.0,,9.0,4.0,M,CO-APPLICANT,4.0,CAR_OTHER,49.0,NONE,FREE,,3.0,1.0,1.0,0.0,0
984804,,589.0,,CAR_USED,1957.0,,1.0,3.0,M,NONE,1.0,REAL_ESTATE,33.0,BANK,RENT,,1.0,1.0,0.0,1.0,1
70177,,496.0,,APPLIANCES,250.0,,6.0,1.0,M,NONE,2.0,SAVINGS_INSURANCE,22.0,STORES,OWN,,1.0,1.0,0.0,1.0,0
789566,,558.0,,FURNITURE,250.0,,0.0,1.0,F,NONE,2.0,REAL_ESTATE,19.0,STORES,RENT,,3.0,1.0,0.0,1.0,1
1069119,,780.0,,RADIO_TV,1631.0,,2.0,2.0,M,NONE,2.0,REAL_ESTATE,45.0,BANK,OWN,,1.0,2.0,1.0,1.0,1
581423,,240.0,,FURNITURE,3733.0,,5.0,3.0,M,NONE,2.0,REAL_ESTATE,41.0,NONE,OWN,,3.0,1.0,0.0,1.0,1
401698,,1110.0,,FURNITURE,8265.0,,7.0,4.0,M,CO-APPLICANT,5.0,CAR_OTHER,38.0,NONE,OWN,,2.0,2.0,1.0,1.0,0
1193175,,558.0,,CAR_NEW,250.0,,0.0,1.0,M,NONE,2.0,SAVINGS_INSURANCE,21.0,NONE,OWN,,3.0,1.0,0.0,1.0,1
442154,,1290.0,,FURNITURE,2668.0,,7.0,3.0,M,NONE,2.0,CAR_OTHER,39.0,STORES,OWN,,1.0,1.0,1.0,,1
180941,,992.0,,APPLIANCES,4673.0,,5.0,3.0,F,NONE,4.0,UNKNOWN,34.0,NONE,OWN,,3.0,2.0,1.0,1.0,0
902988,,341.0,,CAR_NEW,250.0,,6.0,3.0,M,NONE,2.0,SAVINGS_INSURANCE,39.0,NONE,OWN,,3.0,1.0,0.0,1.0,0
1152071,,690.0,,RADIO_TV,2897.0,,7.0,3.0,F,NONE,3.0,CAR_OTHER,49.0,BANK,RENT,,0.0,1.0,1.0,1.0,0
594123,,570.0,,CAR_USED,881.0,,0.0,2.0,F,NONE,3.0,REAL_ESTATE,19.0,STORES,OWN,,3.0,1.0,0.0,1.0,1
437639,,600.0,,CAR_NEW,3786.0,,0.0,3.0,M,CO-APPLICANT,3.0,REAL_ESTATE,35.0,NONE,OWN,,3.0,1.0,0.0,1.0,1
840851,,496.0,,RADIO_TV,250.0,,2.0,3.0,M,CO-APPLICANT,3.0,REAL_ESTATE,50.0,NONE,RENT,,3.0,1.0,1.0,1.0,0
409677,,1230.0,,RADIO_TV,6474.0,,10.0,4.0,M,CO-APPLICANT,4.0,UNKNOWN,53.0,NONE,OWN,,3.0,2.0,1.0,1.0,0
100880,,744.0,,EDUCATION,690.0,,6.0,3.0,M,NONE,3.0,SAVINGS_INSURANCE,35.0,NONE,OWN,,3.0,1.0,0.0,1.0,1
397874,,682.0,,RADIO_TV,3539.0,,3.0,3.0,M,NONE,2.0,CAR_OTHER,35.0,NONE,OWN,,3.0,1.0,1.0,1.0,1
1169376,,124.0,,CAR_NEW,250.0,,3.0,1.0,F,NONE,3.0,SAVINGS_INSURANCE,30.0,STORES,RENT,,3.0,1.0,0.0,1.0,0
197218,,1320.0,,REPAIRS,6177.0,,8.0,5.0,M,CO-APPLICANT,3.0,CAR_OTHER,55.0,NONE,FREE,,3.0,2.0,1.0,1.0,0
67376,,510.0,,CAR_NEW,250.0,,0.0,1.0,M,CO-APPLICANT,2.0,REAL_ESTATE,40.0,NONE,OWN,,3.0,1.0,1.0,1.0,1
733357,,589.0,,FURNITURE,1722.0,,0.0,2.0,F,NONE,3.0,REAL_ESTATE,21.0,NONE,OWN,,3.0,1.0,0.0,1.0,1
131731,,589.0,,RETRAINING,250.0,,0.0,2.0,F,NONE,2.0,SAVINGS_INSURANCE,21.0,NONE,OWN,,3.0,1.0,0.0,1.0,1
981237,,713.0,,CAR_USED,3161.0,,6.0,2.0,M,NONE,2.0,CAR_OTHER,46.0,NONE,OWN,,3.0,1.0,1.0,1.0,0
615737,,961.0,,RADIO_TV,5966.0,,9.0,5.0,M,NONE,3.0,SAVINGS_INSURANCE,44.0,NONE,FREE,,3.0,1.0,0.0,1.0,1
1111035,,1380.0,,APPLIANCES,8838.0,,5.0,5.0,M,CO-APPLICANT,4.0,UNKNOWN,48.0,NONE,FREE,,3.0,2.0,,1.0,0
1114170,,240.0,,CAR_NEW,440.0,,0.0,2.0,F,NONE,1.0,SAVINGS_INSURANCE,36.0,NONE,OWN,,3.0,1.0,1.0,1.0,1
687609,,620.0,,CAR_USED,2974.0,,2.0,3.0,M,NONE,2.0,SAVINGS_INSURANCE,37.0,NONE,RENT,,3.0,2.0,0.0,1.0,1
670272,,1054.0,,REPAIRS,6810.0,,5.0,4.0,F,NONE,3.0,UNKNOWN,44.0,NONE,OWN,,3.0,2.0,1.0,1.0,0
969668,,540.0,,APPLIANCES,4534.0,,7.0,4.0,M,NONE,,UNKNOWN,36.0,NONE,OWN,,3.0,1.0,1.0,1.0,1
261265,,120.0,,CAR_NEW,250.0,,0.0,1.0,M,NONE,1.0,REAL_ESTATE,19.0,BANK,RENT,,0.0,1.0,0.0,1.0,1
9151,,840.0,,REPAIRS,3789.0,,7.0,4.0,M,NONE,4.0,CAR_OTHER,29.0,NONE,OWN,,3.0,1.0,0.0,1.0,0
976657,,341.0,,VACATION,5537.0,,6.0,4.0,M,NONE,2.0,UNKNOWN,34.0,NONE,OWN,,3.0,2.0,1.0,1.0,1
462383,,372.0,,VACATION,1529.0,,6.0,3.0,F,NONE,3.0,SAVINGS_INSURANCE,32.0,NONE,OWN,,3.0,1.0,0.0,1.0,1
540991,,540.0,,CAR_NEW,3454.0,,4.0,2.0,M,NONE,2.0,SAVINGS_INSURANCE,38.0,NONE,RENT,,3.0,1.0,0.0,1.0,1
546488,,1050.0,,CAR_USED,2018.0,,7.0,2.0,F,NONE,3.0,SAVINGS_INSURANCE,47.0,STORES,RENT,,1.0,1.0,1.0,1.0,0
593348,,434.0,,APPLIANCES,922.0,,2.0,1.0,F,NONE,2.0,SAVINGS_INSURANCE,28.0,STORES,RENT,,3.0,1.0,0.0,1.0,1
1154081,,810.0,,CAR_USED,1918.0,,7.0,3.0,F,NONE,3.0,REAL_ESTATE,20.0,STORES,RENT,,3.0,1.0,0.0,1.0,1
747253,,496.0,,CAR_NEW,1680.0,,0.0,3.0,M,NONE,2.0,SAVINGS_INSURANCE,35.0,NONE,OWN,,3.0,2.0,1.0,1.0,1
616954,,930.0,,REPAIRS,6111.0,,8.0,5.0,F,NONE,5.0,UNKNOWN,53.0,NONE,OWN,,3.0,2.0,1.0,1.0,1
498857,,868.0,,RADIO_TV,2402.0,,2.0,4.0,M,NONE,4.0,SAVINGS_INSURANCE,40.0,STORES,OWN,,1.0,1.0,0.0,1.0,1
1211445,,570.0,,BUSINESS,4480.0,,0.0,3.0,M,NONE,3.0,CAR_OTHER,34.0,NONE,OWN,,2.0,1.0,0.0,1.0,0
250264,,720.0,,FURNITURE,6086.0,,9.0,4.0,M,NONE,,SAVINGS_INSURANCE,50.0,NONE,OWN,,3.0,1.0,0.0,1.0,1
1122318,,930.0,,RADIO_TV,3624.0,,10.0,2.0,M,NONE,1.0,UNKNOWN,42.0,STORES,OWN,,3.0,1.0,1.0,1.0,1
1239840,,390.0,,CAR_USED,3091.0,,2.0,3.0,M,NONE,3.0,SAVINGS_INSURANCE,29.0,NONE,OWN,,3.0,1.0,1.0,1.0,1
703277,,837.0,,EDUCATION,5629.0,,7.0,3.0,F,NONE,4.0,CAR_OTHER,32.0,NONE,OWN,,3.0,1.0,1.0,1.0,1
256045,,744.0,,BUSINESS,5279.0,,7.0,3.0,M,NONE,4.0,SAVINGS_INSURANCE,31.0,NONE,FREE,,2.0,1.0,0.0,1.0,1
309757,,270.0,,CAR_NEW,329.0,,1.0,2.0,M,NONE,3.0,REAL_ESTATE,23.0,STORES,OWN,,3.0,2.0,1.0,1.0,0
377346,,372.0,,FURNITURE,4137.0,,5.0,3.0,M,NONE,2.0,CAR_OTHER,19.0,BANK,RENT,,0.0,1.0,0.0,1.0,1
1005670,,465.0,,APPLIANCES,1107.0,,0.0,2.0,M,CO-APPLICANT,3.0,REAL_ESTATE,37.0,NONE,OWN,,3.0,1.0,1.0,1.0,1
1132462,,434.0,,CAR_NEW,2492.0,,11.0,4.0,M,NONE,3.0,UNKNOWN,38.0,BANK,OWN,,1.0,1.0,1.0,1.0,1
375544,,1290.0,,REPAIRS,7877.0,,9.0,5.0,M,CO-APPLICANT,3.0,UNKNOWN,56.0,NONE,FREE,,3.0,2.0,1.0,1.0,0
1290933,,403.0,,CAR_NEW,4070.0,,7.0,2.0,F,NONE,2.0,CAR_OTHER,39.0,STORES,OWN,,3.0,1.0,1.0,1.0,1
808239,,837.0,,RADIO_TV,5468.0,,4.0,4.0,M,NONE,4.0,SAVINGS_INSURANCE,39.0,NONE,RENT,,3.0,1.0,0.0,1.0,1
559174,,837.0,,APPLIANCES,6905.0,,7.0,4.0,M,NONE,4.0,SAVINGS_INSURANCE,41.0,NONE,OWN,,2.0,1.0,0.0,1.0,1
486691,,372.0,,FURNITURE,3897.0,,0.0,3.0,F,NONE,3.0,CAR_OTHER,29.0,NONE,OWN,,3.0,1.0,0.0,1.0,1
515104,,570.0,,RADIO_TV,472.0,,0.0,1.0,M,NONE,1.0,SAVINGS_INSURANCE,25.0,BANK,RENT,,0.0,1.0,0.0,1.0,1
1145513,,390.0,,FURNITURE,4929.0,,1.0,4.0,M,NONE,3.0,UNKNOWN,34.0,NONE,OWN,,3.0,2.0,1.0,1.0,1
792405,,868.0,,FURNITURE,5361.0,,1.0,3.0,M,NONE,2.0,CAR_OTHER,37.0,STORES,OWN,,1.0,1.0,0.0,1.0,0
1157104,,124.0,,CAR_USED,250.0,,3.0,3.0,F,NONE,3.0,SAVINGS_INSURANCE,34.0,NONE,OWN,,3.0,1.0,0.0,1.0,1
847824,,390.0,,FURNITURE,3370.0,,4.0,3.0,M,NONE,2.0,SAVINGS_INSURANCE,28.0,NONE,OWN,,3.0,1.0,0.0,1.0,0
440987,,540.0,,FURNITURE,1070.0,,7.0,3.0,F,NONE,4.0,CAR_OTHER,38.0,NONE,OWN,,3.0,1.0,1.0,1.0,0
17193,,300.0,,FURNITURE,4037.0,,7.0,3.0,M,NONE,3.0,SAVINGS_INSURANCE,31.0,NONE,RENT,,3.0,1.0,0.0,,0
1050173,,330.0,,RADIO_TV,340.0,,0.0,2.0,M,NONE,1.0,REAL_ESTATE,19.0,NONE,RENT,,2.0,1.0,0.0,1.0,1
1073420,,961.0,,FURNITURE,2159.0,,9.0,3.0,M,NONE,2.0,CAR_OTHER,36.0,NONE,OWN,,3.0,2.0,1.0,1.0,0
656245,,1020.0,,FURNITURE,5283.0,,4.0,4.0,M,NONE,5.0,CAR_OTHER,43.0,NONE,OWN,,3.0,2.0,1.0,1.0,0
238702,,1209.0,,BUSINESS,6676.0,,0.0,4.0,M,CO-APPLICANT,3.0,CAR_OTHER,38.0,NONE,FREE,,,1.0,1.0,1.0,1
889573,,750.0,,OTHER,3411.0,,2.0,4.0,M,CO-APPLICANT,2.0,CAR_OTHER,43.0,BANK,OWN,,0.0,1.0,1.0,1.0,1
749104,,780.0,,BUSINESS,6693.0,,6.0,4.0,F,NONE,4.0,SAVINGS_INSURANCE,39.0,STORES,OWN,,1.0,1.0,1.0,1.0,1
49070,,775.0,,EDUCATION,5614.0,,1.0,4.0,M,NONE,3.0,CAR_OTHER,45.0,NONE,OWN,,2.0,1.0,0.0,1.0,1
690193,,372.0,,FURNITURE,4781.0,,5.0,3.0,M,CO-APPLICANT,2.0,SAVINGS_INSURANCE,36.0,NONE,OWN,,3.0,1.0,1.0,1.0,1
72190,,124.0,,CAR_USED,250.0,,4.0,2.0,F,NONE,1.0,SAVINGS_INSURANCE,22.0,NONE,RENT,,3.0,1.0,0.0,1.0,1
324379,,600.0,,FURNITURE,2732.0,,7.0,2.0,M,NONE,1.0,UNKNOWN,38.0,STORES,OWN,,3.0,1.0,1.0,1.0,0
792252,,120.0,,CAR_NEW,250.0,,6.0,1.0,M,NONE,1.0,SAVINGS_INSURANCE,33.0,NONE,OWN,,3.0,1.0,0.0,1.0,1
177019,,240.0,,FURNITURE,3007.0,,0.0,2.0,M,NONE,4.0,CAR_OTHER,37.0,NONE,OWN,,3.0,1.0,0.0,1.0,1
162595,,660.0,,FURNITURE,2849.0,,5.0,3.0,F,NONE,3.0,SAVINGS_INSURANCE,33.0,NONE,OWN,,3.0,1.0,1.0,1.0,1
434597,,744.0,,FURNITURE,1507.0,,3.0,3.0,F,NONE,4.0,REAL_ESTATE,23.0,NONE,OWN,,3.0,1.0,0.0,1.0,1
780643,,930.0,,OTHER,5566.0,,2.0,4.0,M,NONE,4.0,UNKNOWN,51.0,NONE,OWN,,2.0,1.0,1.0,1.0,1
1145876,,180.0,,CAR_NEW,250.0,,0.0,2.0,F,CO-APPLICANT,1.0,REAL_ESTATE,19.0,STORES,OWN,,3.0,1.0,0.0,1.0,1
411047,,775.0,,FURNITURE,2160.0,,8.0,4.0,M,NONE,5.0,CAR_OTHER,32.0,NONE,OWN,,3.0,1.0,1.0,1.0,1
1162239,,341.0,,APPLIANCES,250.0,,0.0,2.0,F,NONE,3.0,REAL_ESTATE,19.0,NONE,RENT,,3.0,1.0,0.0,1.0,1
466674,,1200.0,,APPLIANCES,6327.0,,3.0,4.0,M,NONE,4.0,SAVINGS_INSURANCE,38.0,NONE,OWN,,3.0,1.0,1.0,1.0,0
837863,,496.0,,FURNITURE,2241.0,,7.0,3.0,M,NONE,3.0,CAR_OTHER,24.0,NONE,OWN,,3.0,1.0,1.0,0.0,1
978449,,1170.0,,APPLIANCES,6322.0,,9.0,5.0,F,NONE,5.0,SAVINGS_INSURANCE,34.0,NONE,FREE,,2.0,1.0,1.0,1.0,0
995323,,870.0,,APPLIANCES,6599.0,,15.0,5.0,M,NONE,5.0,SAVINGS_INSURANCE,37.0,NONE,FREE,,2.0,1.0,0.0,1.0,1
568097,,660.0,,CAR_NEW,1353.0,,7.0,2.0,M,NONE,3.0,SAVINGS_INSURANCE,29.0,STORES,OWN,,3.0,1.0,0.0,0.0,1
925941,,1140.0,,OTHER,5588.0,,3.0,4.0,M,NONE,4.0,SAVINGS_INSURANCE,43.0,STORES,OWN,,1.0,1.0,1.0,1.0,0
380536,,600.0,,CAR_USED,3074.0,,6.0,4.0,F,GUARANTOR,4.0,CAR_OTHER,48.0,NONE,FREE,,3.0,1.0,1.0,1.0,0
323768,,620.0,,VACATION,862.0,,0.0,2.0,F,NONE,1.0,SAVINGS_INSURANCE,19.0,NONE,RENT,,3.0,1.0,0.0,1.0,1
480223,,744.0,,RADIO_TV,2484.0,,7.0,3.0,F,NONE,2.0,SAVINGS_INSURANCE,35.0,STORES,OWN,,3.0,1.0,0.0,1.0,1
806224,,930.0,,OTHER,9225.0,,10.0,4.0,M,CO-APPLICANT,3.0,UNKNOWN,50.0,NONE,OWN,,3.0,1.0,1.0,1.0,0
688640,,651.0,,RADIO_TV,3480.0,,1.0,3.0,M,NONE,4.0,SAVINGS_INSURANCE,33.0,STORES,OWN,,3.0,1.0,1.0,1.0,1
403788,,124.0,,CAR_NEW,250.0,,2.0,2.0,M,NONE,1.0,REAL_ESTATE,25.0,NONE,OWN,,3.0,1.0,0.0,1.0,1
121936,,434.0,,BUSINESS,4921.0,,1.0,3.0,M,NONE,2.0,SAVINGS_INSURANCE,29.0,NONE,OWN,,2.0,1.0,0.0,1.0,1
784958,,360.0,,RADIO_TV,2196.0,,5.0,4.0,F,NONE,3.0,CAR_OTHER,40.0,NONE,FREE,,3.0,2.0,1.0,1.0,1
499055,,1080.0,,APPLIANCES,5794.0,,7.0,4.0,F,GUARANTOR,4.0,CAR_OTHER,61.0,NONE,FREE,,3.0,1.0,1.0,1.0,0
1092469,,558.0,,RADIO_TV,5172.0,,8.0,4.0,F,NONE,3.0,CAR_OTHER,43.0,STORES,FREE,,1.0,2.0,1.0,1.0,0
1035991,,990.0,,RADIO_TV,4758.0,,7.0,4.0,M,NONE,4.0,CAR_OTHER,32.0,NONE,OWN,,3.0,1.0,0.0,1.0,0
601386,,480.0,,CAR_USED,1371.0,,0.0,2.0,M,NONE,3.0,SAVINGS_INSURANCE,33.0,BANK,RENT,,0.0,1.0,0.0,1.0,1
1147165,,750.0,,CAR_USED,2792.0,,4.0,3.0,F,NONE,2.0,CAR_OTHER,40.0,NONE,OWN,,3.0,1.0,0.0,1.0,0
176012,,120.0,,"",250.0,,0.0,1.0,M,NONE,2.0,REAL_ESTATE,20.0,NONE,RENT,,2.0,1.0,0.0,1.0,1
896159,,1050.0,,FURNITURE,5602.0,,5.0,5.0,M,NONE,5.0,SAVINGS_INSURANCE,43.0,NONE,FREE,,2.0,1.0,0.0,1.0,1
1256806,,372.0,,FURNITURE,1602.0,,6.0,3.0,M,NONE,2.0,REAL_ESTATE,31.0,BANK,RENT,,1.0,1.0,0.0,1.0,1
1234661,,186.0,,CAR_NEW,250.0,,0.0,,F,NONE,2.0,SAVINGS_INSURANCE,33.0,STORES,RENT,,3.0,1.0,0.0,1.0,1
1002707,,775.0,,RADIO_TV,5201.0,,12.0,4.0,F,GUARANTOR,3.0,SAVINGS_INSURANCE,52.0,NONE,FREE,,3.0,1.0,0.0,1.0,0
820492,,465.0,,FURNITURE,4496.0,,4.0,3.0,M,NONE,3.0,SAVINGS_INSURANCE,32.0,NONE,OWN,,3.0,1.0,1.0,1.0,1
406082,,1110.0,,APPLIANCES,5126.0,,9.0,4.0,M,NONE,4.0,SAVINGS_INSURANCE,47.0,NONE,FREE,,3.0,1.0,0.0,1.0,1
256096,,240.0,,CAR_USED,5577.0,,1.0,3.0,M,NONE,4.0,SAVINGS_INSURANCE,41.0,NONE,FREE,,2.0,1.0,0.0,1.0,1
825645,,690.0,,RETRAINING,2066.0,,1.0,4.0,M,"",3.0,SAVINGS_INSURANCE,28.0,NONE,OWN,,3.0,1.0,1.0,1.0,1
23993,,330.0,,CAR_USED,944.0,,2.0,3.0,M,NONE,4.0,REAL_ESTATE,35.0,NONE,OWN,,2.0,1.0,1.0,1.0,1
497197,,840.0,,CAR_USED,2989.0,,6.0,3.0,F,GUARANTOR,3.0,CAR_OTHER,41.0,NONE,FREE,,3.0,1.0,1.0,1.0,0
397953,,713.0,,RETRAINING,3280.0,,0.0,2.0,F,NONE,1.0,CAR_OTHER,49.0,STORES,OWN,,3.0,2.0,1.0,1.0,1
377941,,589.0,,FURNITURE,1283.0,,0.0,2.0,F,NONE,2.0,REAL_ESTATE,20.0,NONE,RENT,,3.0,1.0,0.0,1.0,1
1016836,,420.0,,CAR_USED,2588.0,,0.0,2.0,M,NONE,2.0,SAVINGS_INSURANCE,22.0,NONE,OWN,,3.0,1.0,0.0,1.0,1
1297412,,713.0,,APPLIANCES,4655.0,,6.0,4.0,F,NONE,4.0,CAR_OTHER,46.0,NONE,OWN,,3.0,2.0,1.0,1.0,0
586635,,870.0,,RADIO_TV,4623.0,,7.0,4.0,F,NONE,2.0,SAVINGS_INSURANCE,35.0,NONE,OWN,,3.0,1.0,0.0,1.0,1
106063,,1054.0,,APPLIANCES,5422.0,,6.0,5.0,F,NONE,4.0,UNKNOWN,34.0,NONE,OWN,,3.0,2.0,1.0,1.0,0
254704,,900.0,,RADIO_TV,5786.0,,10.0,5.0,F,NONE,4.0,UNKNOWN,37.0,NONE,OWN,,3.0,1.0,1.0,1.0,0
715467,,1054.0,,REPAIRS,7405.0,,7.0,5.0,M,NONE,5.0,UNKNOWN,46.0,STORES,OWN,,1.0,1.0,0.0,1.0,1
506392,,124.0,,CAR_NEW,250.0,,5.0,3.0,F,NONE,3.0,REAL_ESTATE,41.0,NONE,OWN,,3.0,1.0,1.0,1.0,1
1209486,,248.0,,CAR_USED,888.0,,7.0,2.0,M,NONE,4.0,REAL_ESTATE,42.0,NONE,OWN,,3.0,1.0,0.0,1.0,1
225497,,899.0,,RADIO_TV,2871.0,,5.0,4.0,M,CO-APPLICANT,4.0,REAL_ESTATE,31.0,BANK,OWN,,1.0,1.0,1.0,1.0,0
1276156,,992.0,,BUSINESS,6394.0,,9.0,5.0,F,NONE,4.0,CAR_OTHER,44.0,NONE,OWN,,3.0,1.0,1.0,1.0,1
517623,,744.0,,FURNITURE,6266.0,,0.0,2.0,M,NONE,3.0,CAR_OTHER,44.0,NONE,OWN,,3.0,1.0,1.0,1.0,0
583538,,1054.0,,FURNITURE,9545.0,,7.0,3.0,M,CO-APPLICANT,3.0,UNKNOWN,44.0,NONE,FREE,,3.0,2.0,1.0,1.0,0
226419,,992.0,,APPLIANCES,6064.0,,6.0,3.0,F,NONE,4.0,UNKNOWN,43.0,NONE,OWN,,3.0,1.0,1.0,1.0,0
930777,,780.0,,RADIO_TV,3705.0,,,3.0,F,NONE,4.0,CAR_OTHER,41.0,BANK,OWN,,0.0,1.0,1.0,1.0,1
65321,,450.0,,CAR_NEW,3012.0,,1.0,2.0,M,NONE,1.0,REAL_ESTATE,27.0,NONE,OWN,,3.0,1.0,0.0,1.0,1
775444,,186.0,,EDUCATION,4520.0,,7.0,3.0,F,CO-APPLICANT,3.0,CAR_OTHER,36.0,NONE,OWN,,3.0,1.0,1.0,1.0,0
642625,,713.0,,RADIO_TV,4869.0,,3.0,2.0,M,NONE,3.0,SAVINGS_INSURANCE,36.0,NONE,OWN,,3.0,2.0,1.0,1.0,1
414168,,930.0,,REPAIRS,6460.0,,7.0,5.0,M,NONE,3.0,UNKNOWN,47.0,NONE,FREE,,3.0,1.0,1.0,1.0,0
621014,,630.0,,FURNITURE,5281.0,,2.0,3.0,M,NONE,3.0,SAVINGS_INSURANCE,26.0,NONE,FREE,,3.0,1.0,0.0,1.0,1
601775,,1085.0,,REPAIRS,6523.0,,8.0,4.0,M,CO-APPLICANT,5.0,CAR_OTHER,51.0,STORES,OWN,,1.0,2.0,1.0,1.0,0
713592,,124.0,,CAR_USED,1657.0,,0.0,2.0,F,NONE,3.0,SAVINGS_INSURANCE,20.0,NONE,RENT,,3.0,1.0,0.0,1.0,1
289978,,124.0,,CAR_NEW,250.0,,2.0,2.0,M,NONE,1.0,SAVINGS_INSURANCE,22.0,STORES,RENT,,1.0,1.0,0.0,1.0,1
1078310,,810.0,,BUSINESS,5376.0,,7.0,4.0,F,NONE,2.0,SAVINGS_INSURANCE,39.0,NONE,OWN,,3.0,1.0,0.0,1.0,0
1002443,,1085.0,,CAR_USED,4119.0,,9.0,4.0,F,NONE,4.0,CAR_OTHER,46.0,STORES,OWN,,1.0,1.0,1.0,1.0,1
859235,,1050.0,,RADIO_TV,5209.0,,12.0,4.0,M,CO-APPLICANT,4.0,UNKNOWN,58.0,NONE,FREE,,3.0,2.0,1.0,1.0,0
791777,,300.0,,CAR_NEW,2165.0,,6.0,2.0,M,NONE,1.0,CAR_OTHER,34.0,NONE,OWN,,3.0,1.0,1.0,1.0,1
546330,,390.0,,CAR_NEW,2337.0,,1.0,3.0,M,NONE,1.0,REAL_ESTATE,27.0,NONE,OWN,,3.0,1.0,0.0,1.0,1
727697,,1050.0,,CAR_USED,2660.0,,0.0,3.0,F,NONE,3.0,SAVINGS_INSURANCE,29.0,NONE,RENT,,,2.0,0.0,1.0,1
14128,,1209.0,,VACATION,6434.0,,8.0,5.0,F,NONE,4.0,CAR_OTHER,39.0,NONE,OWN,,3.0,2.0,1.0,1.0,0
908370,,1380.0,,APPLIANCES,5644.0,,7.0,4.0,F,NONE,3.0,CAR_OTHER,41.0,NONE,OWN,,3.0,1.0,1.0,1.0,0
